genre
action
adventure
nonsense
philosofical
saga
fantasycomedia
horror
erotic
supernatural
psychological
detective
sci-phy
post-apocalyptic
military
romance
space
crime
mistery
thriller
medical
spy
western
historical
juvenile
biography
diarie
law
religion
occult
prophecy
theology
women
men
